start
halfway
(10000, 5392)
         2949286 function calls (2915701 primitive calls) in 14.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.004    0.001 enum.py:536(_convert_)
      764    0.001    0.000    0.004    0.000 {built-in method builtins.any}
     32/9    0.000    0.000    0.004    0.000 pyparsing.py:4466(leaveWhitespace)
    45163    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
     6004    0.002    0.000    0.004    0.000 sre_parse.py:255(get)
       72    0.000    0.000    0.004    0.000 linecache.py:26(getline)
       72    0.000    0.000    0.004    0.000 linecache.py:36(getlines)
        1    0.000    0.000    0.004    0.004 linecache.py:80(updatecache)
       61    0.000    0.000    0.004    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<lambda>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:2467(<listcomp>)
     8534    0.003    0.000    0.004    0.000 sre_parse.py:165(__getitem__)
     5428    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.004    0.000 rcsetup.py:618(cycler)
        1    0.004    0.004    0.004    0.004 {method 'readlines' of '_io._IOBase' objects}
      234    0.000    0.000    0.004    0.000 {built-in method builtins.next}
       26    0.001    0.000    0.004    0.000 __init__.py:328(namedtuple)
      410    0.000    0.000    0.004    0.000 pyparsing.py:1423(copy)
      448    0.001    0.000    0.004    0.000 colors.py:152(to_rgba)
   260/11    0.001    0.000    0.004    0.000 pyparsing.py:1647(_parseNoCache)
        1    0.004    0.004    0.004    0.004 {built-in method posix.replace}
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
      242    0.003    0.000    0.004    0.000 sre_compile.py:292(_optimize_charset)
    63/11    0.000    0.000    0.004    0.000 pyparsing.py:4049(parseImpl)
        1    0.000    0.000    0.004    0.004 font_manager.py:1429(_load_fontmanager)
      315    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       64    0.001    0.000    0.004    0.000 deprecation.py:318(delete_parameter)
 1494/480    0.003    0.000    0.004    0.000 sre_parse.py:175(getwidth)
        1    0.000    0.000    0.004    0.004 backend_tools.py:1(<module>)
      717    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:125(release)
      317    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
     3084    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
       18    0.000    0.000    0.004    0.000 rcsetup.py:390(validate_font_properties)
      717    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.004    0.004 font_manager.py:1010(json_load)
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
        9    0.000    0.000    0.004    0.000 fontconfig_pattern.py:119(parse)
      410    0.001    0.000    0.004    0.000 copy.py:66(copy)
