construction time 7.632368087768555
solution time 30.442911386489868
         2971872 function calls (2945852 primitive calls) in 41.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 typeref.py:1(<module>)
     3752    0.008    0.000    0.008    0.000 {method 'dot' of 'numpy.ndarray' objects}
     3785    0.002    0.000    0.008    0.000 contextlib.py:279(helper)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:1099(set_data)
     1219    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.007    0.007 _mathtext.py:1(<module>)
        1    0.000    0.000    0.007    0.007 typeof.py:1(<module>)
        9    0.000    0.000    0.007    0.001 typeconv.py:96(promote_unsafe)
        4    0.000    0.000    0.007    0.002 utils.py:1(<module>)
     2911    0.002    0.000    0.007    0.000 castgraph.py:39(insert)
        2    0.000    0.000    0.007    0.004 ElementTree.py:1(<module>)
        1    0.000    0.000    0.007    0.007 font_manager.py:1(<module>)
       11    0.000    0.000    0.007    0.001 pyparsing.py:1901(parseString)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
        1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:185(_write_atomic)
        7    0.000    0.000    0.007    0.001 _version.py:1(<module>)
    43462    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.007    0.007 containers.py:1(<module>)
        1    0.000    0.000    0.007    0.007 overloads.py:1(<module>)
        1    0.000    0.000    0.007    0.007 numpy_support.py:1(<module>)
    55804    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.006    0.006 lowering.py:1(<module>)
        3    0.000    0.000    0.006    0.002 typeconv.py:110(unsafe_unsafe)
      803    0.002    0.000    0.006    0.000 {built-in method builtins.any}
       38    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(linspace)
        1    0.000    0.000    0.006    0.006 reader.py:1(<module>)
        1    0.000    0.000    0.006    0.006 reader.py:45(Reader)
        1    0.000    0.000    0.006    0.006 _mathtext.py:1882(Parser)
     9761    0.004    0.000    0.006    0.000 inspect.py:632(_is_wrapper)
      521    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       38    0.003    0.000    0.006    0.000 function_base.py:23(linspace)
        1    0.000    0.000    0.006    0.006 _mathtext.py:2467(<lambda>)
        1    0.000    0.000    0.006    0.006 _mathtext.py:2467(<listcomp>)
       80    0.003    0.000    0.006    0.000 util.py:433(_flush_std_streams)
        1    0.000    0.000    0.006    0.006 reduction.py:1(<module>)
     7511    0.006    0.000    0.006    0.000 {built-in method numpy.seterrobj}
      190    0.006    0.000    0.006    0.000 {built-in method posix.pipe}
       47    0.000    0.000    0.006    0.000 __init__.py:1298(_add_data_doc)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
     4842    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.005    0.005 pool.py:1(<module>)
      428    0.001    0.000    0.005    0.000 rcsetup.py:310(validate_color)
     3785    0.004    0.000    0.005    0.000 contextlib.py:102(__init__)
      147    0.001    0.000    0.005    0.000 deprecation.py:133(deprecate)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
    24060    0.005    0.000    0.005    0.000 enum.py:678(__new__)
       41    0.000    0.000    0.005    0.000 overloads.py:23(decorator)
      563    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       18    0.000    0.000    0.005    0.000 rcsetup.py:390(validate_font_properties)
        4    0.000    0.000    0.005    0.001 dataclasses.py:1334(make_dataclass)
        9    0.000    0.000    0.005    0.001 fontconfig_pattern.py:119(parse)
        1    0.000    0.000    0.005    0.005 hmac.py:1(<module>)
      556    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
      284    0.001    0.000    0.005    0.000 overrides.py:88(verify_matching_signatures)
