         2861753 function calls (2849461 primitive calls) in 64.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.000    0.000    0.002    0.000 colors.py:980(reversed)
      670    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     5401    0.002    0.000    0.002    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     2140    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x555c5a7719a0}
       19    0.001    0.000    0.002    0.000 threading.py:827(__init__)
      328    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1358    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
       21    0.000    0.000    0.002    0.000 pyparsing.py:1518(setParseAction)
        1    0.002    0.002    0.002    0.002 linalg.py:492(inv)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1283(_trim_arity)
        1    0.000    0.000    0.002    0.002 afm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
    10802    0.002    0.000    0.002    0.000 fromnumeric.py:2416(_all_dispatcher)
      179    0.000    0.000    0.002    0.000 typing.py:947(__init__)
      372    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      586    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
       32    0.000    0.000    0.002    0.000 colors.py:287(to_rgba_array)
